m,Cost,Algorithm
5,2,Complete Greedy
5,3,Complete Greedy
5,4,Complete Greedy
5,2,Complete Greedy
5,2,Complete Greedy
5,2,Complete Greedy
5,0,Complete Greedy
5,2,Complete Greedy
5,1,Complete Greedy
5,1,Complete Greedy
5,0,Complete Greedy
5,3,Complete Greedy
5,9,Complete Greedy
5,1,Complete Greedy
5,1,Complete Greedy
5,1,Complete Greedy
5,3,Complete Greedy
5,0,Complete Greedy
5,1,Complete Greedy
5,1,Complete Greedy
5,4,Complete Greedy
6,0,Complete Greedy
6,7,Complete Greedy
6,10,Complete Greedy
6,2,Complete Greedy
6,8,Complete Greedy
6,0,Complete Greedy
6,3,Complete Greedy
6,7,Complete Greedy
6,2,Complete Greedy
6,20,Complete Greedy
6,1,Complete Greedy
6,9,Complete Greedy
6,1,Complete Greedy
6,11,Complete Greedy
6,7,Complete Greedy
6,1,Complete Greedy
6,12,Complete Greedy
6,2,Complete Greedy
6,15,Complete Greedy
6,3,Complete Greedy
6,8,Complete Greedy
6,6,Complete Greedy
6,7,Complete Greedy
6,1,Complete Greedy
6,4,Complete Greedy
7,6,Complete Greedy
7,6,Complete Greedy
7,6,Complete Greedy
7,27,Complete Greedy
7,5,Complete Greedy
7,2,Complete Greedy
7,14,Complete Greedy
7,4,Complete Greedy
7,4,Complete Greedy
7,5,Complete Greedy
7,0,Complete Greedy
7,5,Complete Greedy
7,1,Complete Greedy
7,0,Complete Greedy
7,13,Complete Greedy
7,2,Complete Greedy
7,2,Complete Greedy
7,7,Complete Greedy
7,1,Complete Greedy
7,19,Complete Greedy
7,5,Complete Greedy
7,4,Complete Greedy
7,2,Complete Greedy
7,15,Complete Greedy
7,3,Complete Greedy
8,25,Complete Greedy
8,14,Complete Greedy
8,12,Complete Greedy
8,6,Complete Greedy
8,0,Complete Greedy
8,4,Complete Greedy
8,0,Complete Greedy
8,1,Complete Greedy
8,1,Complete Greedy
8,6,Complete Greedy
8,27,Complete Greedy
8,1,Complete Greedy
8,24,Complete Greedy
8,16,Complete Greedy
8,8,Complete Greedy
8,49,Complete Greedy
8,42,Complete Greedy
8,13,Complete Greedy
8,43,Complete Greedy
8,21,Complete Greedy
8,15,Complete Greedy
8,0,Complete Greedy
8,1,Complete Greedy
8,25,Complete Greedy
8,27,Complete Greedy
9,47,Complete Greedy
9,32,Complete Greedy
9,4,Complete Greedy
9,3,Complete Greedy
9,106,Complete Greedy
9,8,Complete Greedy
9,18,Complete Greedy
9,20,Complete Greedy
9,3,Complete Greedy
9,61,Complete Greedy
9,54,Complete Greedy
9,49,Complete Greedy
9,30,Complete Greedy
9,38,Complete Greedy
9,32,Complete Greedy
9,8,Complete Greedy
9,28,Complete Greedy
9,58,Complete Greedy
9,54,Complete Greedy
9,93,Complete Greedy
9,54,Complete Greedy
9,1,Complete Greedy
9,33,Complete Greedy
9,6,Complete Greedy
9,59,Complete Greedy
10,34,Complete Greedy
10,5,Complete Greedy
10,46,Complete Greedy
10,43,Complete Greedy
10,147,Complete Greedy
10,3,Complete Greedy
10,37,Complete Greedy
10,133,Complete Greedy
10,181,Complete Greedy
10,23,Complete Greedy
10,13,Complete Greedy
10,4,Complete Greedy
10,68,Complete Greedy
10,102,Complete Greedy
10,30,Complete Greedy
10,60,Complete Greedy
10,119,Complete Greedy
10,83,Complete Greedy
10,122,Complete Greedy
10,80,Complete Greedy
10,104,Complete Greedy
10,75,Complete Greedy
10,43,Complete Greedy
10,17,Complete Greedy
10,18,Complete Greedy
11,18,Complete Greedy
11,191,Complete Greedy
11,9,Complete Greedy
11,89,Complete Greedy
11,116,Complete Greedy
11,38,Complete Greedy
11,199,Complete Greedy
11,17,Complete Greedy
11,58,Complete Greedy
11,396,Complete Greedy
11,74,Complete Greedy
11,272,Complete Greedy
11,71,Complete Greedy
11,259,Complete Greedy
11,45,Complete Greedy
11,143,Complete Greedy
11,162,Complete Greedy
11,79,Complete Greedy
11,107,Complete Greedy
11,1,Complete Greedy
11,326,Complete Greedy
11,207,Complete Greedy
11,133,Complete Greedy
11,2,Complete Greedy
11,37,Complete Greedy
12,14,Complete Greedy
12,427,Complete Greedy
12,219,Complete Greedy
12,1727,Complete Greedy
12,132,Complete Greedy
12,95,Complete Greedy
12,180,Complete Greedy
12,34,Complete Greedy
12,30,Complete Greedy
12,5,Complete Greedy
12,559,Complete Greedy
12,976,Complete Greedy
12,121,Complete Greedy
12,79,Complete Greedy
12,13,Complete Greedy
12,2,Complete Greedy
12,132,Complete Greedy
12,15,Complete Greedy
12,26,Complete Greedy
12,139,Complete Greedy
12,153,Complete Greedy
12,374,Complete Greedy
12,328,Complete Greedy
12,243,Complete Greedy
12,58,Complete Greedy
13,322,Complete Greedy
13,461,Complete Greedy
13,554,Complete Greedy
13,302,Complete Greedy
13,213,Complete Greedy
13,2537,Complete Greedy
13,26,Complete Greedy
13,27,Complete Greedy
13,1031,Complete Greedy
13,1069,Complete Greedy
13,20,Complete Greedy
13,1244,Complete Greedy
13,437,Complete Greedy
13,263,Complete Greedy
13,859,Complete Greedy
13,440,Complete Greedy
13,91,Complete Greedy
13,140,Complete Greedy
13,1066,Complete Greedy
13,1971,Complete Greedy
13,614,Complete Greedy
13,1886,Complete Greedy
13,156,Complete Greedy
13,161,Complete Greedy
13,861,Complete Greedy
14,3972,Complete Greedy
14,1251,Complete Greedy
14,160,Complete Greedy
14,762,Complete Greedy
14,435,Complete Greedy
14,1235,Complete Greedy
14,1425,Complete Greedy
14,4652,Complete Greedy
14,3525,Complete Greedy
14,2401,Complete Greedy
