n,Cost,Algorithm
2,108,Karmarkar-Karp
2,142,Karmarkar-Karp
2,7,Karmarkar-Karp
2,182,Karmarkar-Karp
2,29,Karmarkar-Karp
2,12,Karmarkar-Karp
2,12,Karmarkar-Karp
2,155,Karmarkar-Karp
3,86,Karmarkar-Karp
3,94,Karmarkar-Karp
3,80,Karmarkar-Karp
3,146,Karmarkar-Karp
3,45,Karmarkar-Karp
3,12,Karmarkar-Karp
3,93,Karmarkar-Karp
3,80,Karmarkar-Karp
3,53,Karmarkar-Karp
3,31,Karmarkar-Karp
3,10,Karmarkar-Karp
3,68,Karmarkar-Karp
3,124,Karmarkar-Karp
3,25,Karmarkar-Karp
3,117,Karmarkar-Karp
3,51,Karmarkar-Karp
3,15,Karmarkar-Karp
3,34,Karmarkar-Karp
3,24,Karmarkar-Karp
3,175,Karmarkar-Karp
3,31,Karmarkar-Karp
3,26,Karmarkar-Karp
3,16,Karmarkar-Karp
3,62,Karmarkar-Karp
3,46,Karmarkar-Karp
4,111,Karmarkar-Karp
4,0,Karmarkar-Karp
4,55,Karmarkar-Karp
4,34,Karmarkar-Karp
4,64,Karmarkar-Karp
4,5,Karmarkar-Karp
4,9,Karmarkar-Karp
4,1,Karmarkar-Karp
4,1,Karmarkar-Karp
4,170,Karmarkar-Karp
4,59,Karmarkar-Karp
4,7,Karmarkar-Karp
4,8,Karmarkar-Karp
4,17,Karmarkar-Karp
4,5,Karmarkar-Karp
4,49,Karmarkar-Karp
4,14,Karmarkar-Karp
4,27,Karmarkar-Karp
4,100,Karmarkar-Karp
4,11,Karmarkar-Karp
4,11,Karmarkar-Karp
4,2,Karmarkar-Karp
4,46,Karmarkar-Karp
4,51,Karmarkar-Karp
4,16,Karmarkar-Karp
5,7,Karmarkar-Karp
5,104,Karmarkar-Karp
5,34,Karmarkar-Karp
5,58,Karmarkar-Karp
5,7,Karmarkar-Karp
5,14,Karmarkar-Karp
5,43,Karmarkar-Karp
5,11,Karmarkar-Karp
5,51,Karmarkar-Karp
5,61,Karmarkar-Karp
5,5,Karmarkar-Karp
5,4,Karmarkar-Karp
5,4,Karmarkar-Karp
5,66,Karmarkar-Karp
5,102,Karmarkar-Karp
5,10,Karmarkar-Karp
5,8,Karmarkar-Karp
5,63,Karmarkar-Karp
5,112,Karmarkar-Karp
5,10,Karmarkar-Karp
5,0,Karmarkar-Karp
5,25,Karmarkar-Karp
5,60,Karmarkar-Karp
5,15,Karmarkar-Karp
5,24,Karmarkar-Karp
6,24,Karmarkar-Karp
6,1,Karmarkar-Karp
6,46,Karmarkar-Karp
